"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ccdc33",33.4359885739491,1.07424279407845,0.350926778172344,3.06115936684342,0.00220481706596132,0.0132841104353846
"Gm39360",10.513664568905,-2.41437031447793,0.589754679566731,-4.09385528954457,4.2425915848714e-05,0.000451364604723819
"Gm36459",9.69284996064356,-1.37701420558269,0.507975104822025,-2.71079073070942,0.0067122974997493,0.0329177271058507
"Car12",2565.72085993515,-1.0552606396657,0.0943226786651512,-11.1877721731368,4.68045852258954e-29,8.79071118478284e-27
"Gm30639",21.6156004863581,-1.63046603964586,0.362543162160358,-4.49730186588012,6.8821244461512e-06,9.13858169997767e-05
"Onecut1",22.8134791148129,5.82596939758751,0.887657260625507,6.56330957455596,5.26264298295554e-11,1.75418439225376e-09
"Arpp19",18970.5743109517,-1.01955297957276,0.0527600758427372,-19.3243274064229,3.35325506576456e-83,7.27768124439768e-80
"Myo5c",458.446985954842,-1.19228013993081,0.0917666848443095,-12.9925162051307,1.34917229575109e-38,4.05436653121632e-36
"Gm19531",250.247189129687,-1.05644247528961,0.126501148374345,-8.3512481022177,6.75453696707784e-17,4.42739498583663e-15
"Fam83b",11.276695991612,1.45504110610608,0.491892224937891,2.95804859751504,0.00309593310937699,0.017477705614295
"Cd109",46.0052166074016,1.10780564065975,0.260663939676185,4.24993822327686,2.13829481259039e-05,0.000249059705273274
"Impg1",232.478403605794,-1.08316995744625,0.126183239206857,-8.58410327912547,9.15476997484343e-18,6.5025498879497e-16
"Ttk",13.7645817531087,1.18241235695738,0.426568318328366,2.77191789955477,0.00557270898805614,0.0281343304894548
"Col6a4",643.364714956644,-2.28840865857155,0.235361739380188,-9.72294249948165,2.40722610874063e-22,2.64159256078824e-20
"Traip",5262.84210588574,-1.53797196149006,0.184647614326833,-8.32922736151791,8.13716604310245e-17,5.24811708426257e-15
"Arpp21",46329.6043123925,-1.02463045562396,0.0566067226609074,-18.1008616549279,3.13721478206714e-73,4.08528108920783e-70
"Gm51695",43.6614048191075,-1.37446488614188,0.262660552687527,-5.2328561410476,1.66910642002066e-07,3.20576752234646e-06
"LOC115487199",22.8835525452303,-1.322083476065,0.41716379495596,-3.16921912220252,0.00152849113207656,0.00982105831672743
"Ttc21a",154.062709174668,1.02383984406862,0.193970367947848,5.27833119512303,1.30365682557955e-07,2.55409516289321e-06
"Lyzl4",12.1705143922557,-1.1006153858166,0.43084822349047,-2.55453156311075,0.01063307888897,0.0475167993452874
"H60b",23.2472898799743,1.09206647287804,0.364825842307043,2.99339121914215,0.00275895841317791,0.0159440043445574
"Gm17455",12.2185293423581,1.20435609770622,0.457014967539211,2.63526620187312,0.00840713207151746,0.0394277336741778
"Tmem26",12.3890936104689,1.37734931200903,0.481798365102803,2.85876709381348,0.00425290910736295,0.0226275124965736
"Upb1",115.012565564276,-1.50818544138313,0.164641428812288,-9.16042488371899,5.1693380489476e-20,4.61062466256135e-18
"Theg",28.9745832120722,-2.32288300595615,0.353298823686888,-6.57483934340752,4.87057282279566e-11,1.62905648882993e-09
"Gm51808",6.21294294812362,-2.29744998959448,0.689543214820039,-3.3318433714036,0.000862727970378815,0.00612342494382608
"Misp",40.5168398382212,-1.78248235705203,0.35808525739126,-4.97781553487529,6.43058969626904e-07,1.08190102099245e-05
"Plk5",944.798814163505,-1.49726632397997,0.091505581330407,-16.3625682959563,3.53883117833819e-60,2.6586149771723e-57
"Amh",76.3031241106725,-1.30729288887409,0.191703794354339,-6.81933757898258,9.14612529194255e-12,3.2961488067807e-10
"Smim24",38.1473300980001,1.0776367885894,0.253056834352076,4.25847731537686,2.05824101508646e-05,0.000240452283179927
"Gm6713",1569.32434693962,-1.7880343096688,0.0736201881414322,-24.2872825349726,2.67134810096483e-130,2.6089721228073e-126
"Gm6721",290.235619737742,-1.52110393121446,0.102482500281363,-14.8425724102974,7.77176289430392e-50,4.1028606652551e-47
"Gm32898",15.3760507596399,2.46704827154217,0.743974153705912,3.31604029421347,0.000913026634149906,0.00642209191388193
"Epyc",437.190266780572,-1.06922764676766,0.104942847593523,-10.1886662243921,2.22799882816449e-24,2.96051027962836e-22
"Tph2",55.9189264897754,-1.17113269010751,0.26077483722508,-4.49097275860508,7.08986196440784e-06,9.40803490154744e-05
"D930020B18Rik",21.6346972081231,1.03160394633548,0.359035562959947,2.87326396814502,0.00406254518013591,0.02178849396035
"Avil",41.6390020083272,-1.35162252366773,0.277684651158452,-4.86747293388022,1.13034306491233e-06,1.79212589991336e-05
"Stac3",169.776638760991,-1.07280299054157,0.135094941476364,-7.94110407701142,2.00389438312161e-15,1.14450494109691e-13
"Tac2",162.675604944373,1.39793679900241,0.530471469328784,2.6352723564403,0.00840697962157807,0.0394277336741778
"Sec14l4",13.1481180306611,1.51676533603156,0.561411923111166,2.70169776164734,0.00689864407289359,0.0337264314632404
"Sec14l3",207.672506146804,-1.94647735502584,0.163125868253558,-11.9323647185147,8.02606404819741e-33,1.86634653635048e-30
"Insyn2b",381.74072373504,1.02828644303027,0.135487388540232,7.58953622259042,3.21052517203408e-14,1.61626773673561e-12
"Adra1b",227.197500821849,1.23055981260717,0.462740351103666,2.65928789151887,0.00783060191459831,0.0372334827648123
"Gm4926",18.7868864592732,-1.43083870224498,0.375708506883872,-3.80837451382818,0.000139883302574446,0.00129617673111321
